"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Connor Overton","CIN","1","0","0","6","4","33.0","3.82","3.00","0.27",".204","71.9%","41.4%","2.6%","91.4","2.73","3.41","3.66","4.97","0.7","18376","656818"
"Dylan Bundy","MIN","8","8","0","29","29","140.0","6.04","1.80","1.54",".285","69.4%","34.0%","11.2%","89.1","4.89","4.34","4.66","4.70","0.7","12917","605164"
"Chris Flexen","SEA","8","9","2","33","22","137.2","6.21","3.33","1.11",".271","76.9%","33.8%","8.5%","91.8","3.73","4.62","4.49","5.04","0.7","13896","623167"
"Dennis Santana","TEX","3","8","1","63","1","58.2","8.28","4.30","0.31",".287","54.3%","48.2%","3.9%","97.7","5.22","3.89","3.35","4.19","0.7","17878","642701"
"Michael Fulmer","- - -","5","6","3","67","0","63.2","8.62","3.96","0.57",".309","75.2%","35.4%","5.5%","94.3","3.39","3.78","3.57","4.45","0.7","13218","605242"
"Domingo German","NYY","2","5","0","15","14","72.1","7.22","2.36","1.37",".262","78.5%","39.8%","12.1%","92.7","3.61","3.78","4.44","4.33","0.7","17149","593334"
"Steven Matz","STL","5","3","0","15","10","48.0","10.13","1.88","1.50",".316","66.9%","38.3%","16.0%","","5.25","3.64","3.78","3.15","0.7","13361","571927"
"Matt Brash","SEA","4","4","0","39","5","50.2","11.01","5.86","0.53",".352","72.9%","51.6%","9.1%","97.0","4.44","4.53","3.51","3.70","0.6","25756","666374"
"Kyle Finnegan","WSN","6","4","11","66","0","66.2","9.45","2.97","1.22",".269","75.7%","48.3%","16.4%","97.0","3.51","3.29","3.76","3.22","0.6","15009","640448"
"Ryan Feltner","COL","4","9","0","20","19","97.1","7.77","3.24","1.48",".299","64.4%","41.3%","13.4%","94.5","5.83","4.91","4.76","4.43","0.6","21446","663372"
"Eduardo Rodriguez","DET","5","5","0","17","17","91.0","7.12","3.36","1.19",".277","69.7%","43.4%","11.5%","92.0","4.05","4.20","4.43","4.41","0.6","13164","593958"
"Trevor Williams","NYM","3","5","1","30","9","89.2","8.43","2.31","1.20",".301","82.3%","36.2%","11.0%","91.2","3.21","3.67","3.88","3.94","0.6","16977","592866"
"Lucas Gilbreath","COL","2","0","0","47","0","43.0","10.26","5.44","0.42",".330","70.1%","46.7%","6.1%","93.8","4.19","4.17","3.53","4.06","0.6","21290","656458"
"Tylor Megill","NYM","4","2","0","15","9","47.1","9.70","2.47","1.33",".305","65.7%","40.9%","14.6%","95.8","5.13","4.31","3.77","3.35","0.6","21318","656731"
