"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Dustin May","LAD","2","3","0","6","6","30.0","8.70","4.20","0.90",".237","64.2%","51.3%","13.0%","98.1","4.50","3.67","4.38","4.21","0.3","19716","669160"
"Tanner Banks","CHW","2","0","0","35","0","53.0","8.32","3.06","0.85",".257","66.7%","46.6%","11.1%","93.1","3.06","4.05","3.57","3.60","0.3","16990","621383"
"Mark Leiter Jr.","CHC","2","7","3","35","4","67.2","9.71","3.33","1.33",".251","74.3%","48.9%","17.5%","91.2","3.99","3.91","4.29","3.62","0.3","15551","643410"
"Tanner Rainey","WSN","1","3","12","29","0","30.0","10.80","3.90","1.50",".284","71.9%","31.6%","12.5%","97.0","3.30","3.97","4.18","3.99","0.3","17610","663432"
"Garrett Richards","TEX","1","1","1","32","2","42.2","7.59","2.74","0.63",".315","57.3%","52.6%","7.5%","94.4","5.27","4.40","3.46","3.94","0.3","9784","572070"
"Austin Davis","- - -","2","1","0","52","3","56.0","10.29","5.30","0.80",".331","63.6%","33.5%","7.4%","94.2","5.79","4.59","4.02","4.66","0.2","17117","656354"
"Lou Trivino","- - -","2","8","11","64","0","53.2","11.24","4.02","1.01",".389","73.0%","52.6%","14.3%","95.7","4.53","4.37","3.63","3.34","0.2","15043","642152"
"Adrian Morejon","SDP","5","1","0","26","0","34.0","7.41","2.38","1.06",".273","65.0%","32.4%","7.8%","96.7","4.24","3.94","3.88","4.57","0.2","20039","670970"
"Robert Stephenson","- - -","2","2","0","58","0","58.0","8.53","2.17","1.55",".317","60.9%","28.6%","12.0%","96.9","5.43","4.78","4.23","4.11","0.2","13594","596112"
"Tommy Nance","MIA","2","3","0","35","2","43.2","11.75","4.33","1.03",".367","76.2%","46.4%","14.7%","93.8","4.33","3.94","3.71","3.37","0.2","19178","667297"
"Archie Bradley","LAA","0","1","2","21","0","18.2","7.23","3.38","0.48",".291","48.7%","57.1%","6.7%","94.0","4.82","3.36","3.33","3.82","0.2","12918","605151"
"Aaron Sanchez","- - -","3","4","0","15","10","60.0","6.15","2.25","1.20",".357","59.9%","52.8%","13.8%","92.6","6.60","4.53","4.48","4.18","0.2","11490","592717"
"Zach Thompson","PIT","3","10","0","29","22","121.2","6.66","3.40","1.41",".309","69.2%","45.3%","14.5%","92.4","5.18","5.14","4.87","4.44","0.2","16094","605507"
"Phoenix Sanders","TBR","0","0","0","8","0","14.2","7.36","1.84","0.00",".286","66.7%","41.5%","0.0%","89.8","3.07","4.34","2.09","3.70","0.2","20541","676637"
"Cole Ragans","TEX","0","3","0","9","9","40.0","6.08","3.60","1.35",".296","69.2%","36.2%","11.8%","92.1","4.95","4.78","4.91","4.85","0.2","21846","666142"
"Wyatt Mills","- - -","0","1","0","27","0","29.1","7.98","3.99","0.31",".301","68.1%","42.2%","3.4%","92.4","4.60","4.40","3.62","4.64","0.2","20010","670090"
"Jeff Brigham","MIA","0","1","1","16","0","24.0","10.50","3.75","1.13",".317","79.1%","19.4%","10.0%","94.7","3.38","3.94","3.65","3.88","0.2","16631","656257"
"Louie Varland","MIN","1","2","0","5","5","26.0","7.27","2.08","1.38",".297","80.3%","35.9%","12.5%","93.8","3.81","4.56","4.30","4.13","0.2","27691","686973"
"Rony Garcia","DET","3","3","0","16","8","51.0","8.47","2.29","1.59",".235","67.6%","31.2%","13.6%","93.0","4.41","6.33","4.52","4.15","0.2","20430","665621"
"Jeff Hoffman","CIN","2","0","0","35","1","44.2","9.07","4.63","1.01",".289","74.6%","28.6%","7.5%","94.4","3.83","4.20","4.30","5.06","0.2","17432","656546"
"Trevor Richards","TOR","3","2","0","62","4","64.0","11.53","4.92","1.27",".312","64.7%","34.0%","11.8%","93.4","5.34","4.62","4.07","4.00","0.2","19309","670950"
"Dinelson Lamet","- - -","1","2","0","32","0","32.1","12.53","5.29","1.11",".338","63.3%","34.2%","12.5%","95.4","6.12","4.56","4.07","3.93","0.2","17186","659275"
"Seth Lugo","NYM","3","2","3","62","0","65.0","9.55","2.49","1.25",".283","79.8%","45.6%","13.2%","94.4","3.60","3.46","3.76","3.51","0.2","12447","607625"
"Mychal Givens","- - -","7","3","2","59","1","61.1","10.42","3.67","1.17",".318","78.9%","42.8%","13.8%","93.6","3.38","3.70","3.96","3.66","0.2","10430","571710"
"Matt Wisler","TBR","3","3","1","39","5","44.0","7.16","2.86","1.23",".198","73.0%","24.8%","8.3%","90.0","2.25","3.24","4.25","4.90","0.2","12804","605538"
"Tony Santillan","CIN","0","1","4","21","0","19.2","9.61","5.49","0.46",".379","66.5%","29.8%","4.3%","96.3","5.49","4.56","4.08","5.15","0.2","19926","663574"
"Matt Foster","CHW","1","2","1","48","0","45.0","8.40","3.40","1.20",".289","67.8%","31.1%","9.8%","93.9","4.40","4.20","4.11","4.39","0.2","19647","641582"
"Jake Cousins","MIL","2","1","0","12","0","13.1","14.18","5.40","0.68",".333","86.0%","46.4%","9.1%","95.8","2.70","3.24","3.19","3.43","0.2","21620","664776"
"Joel Payamps","- - -","3","6","0","41","0","55.2","6.63","2.59","1.13",".303","79.2%","52.8%","12.7%","94.9","3.23","3.86","4.24","4.07","0.2","14332","606303"
"Carl Edwards Jr.","WSN","6","3","2","57","0","62.0","8.13","3.63","1.16",".259","83.6%","47.7%","12.5%","94.6","2.76","3.31","4.24","4.09","0.1","13607","605218"
"Humberto Castellanos","ARI","3","2","0","11","9","44.1","6.50","2.44","1.42",".309","65.8%","33.3%","12.1%","89.4","5.68","5.35","4.80","4.69","0.1","21183","528748"
"Sean Hjelle","SFG","1","2","0","8","0","25.0","10.08","2.88","1.08",".400","60.8%","59.0%","23.1%","91.9","5.76","4.23","3.51","2.72","0.1","21481","663546"
"Kyle Crick","CHW","2","0","0","14","0","15.2","10.91","6.32","0.00",".294","69.6%","32.4%","0.0%","92.3","4.02","4.37","3.18","4.12","0.1","13182","605195"
"Reyes Moronta","- - -","2","2","2","39","0","37.2","9.08","4.30","1.19",".255","69.8%","31.7%","9.3%","95.3","4.30","3.27","4.41","4.81","0.1","14966","606625"
"Jake Fishman","MIA","0","0","0","7","0","11.0","4.91","0.00","0.00",".333","68.8%","46.2%","0.0%","","4.09","4.17","2.84","4.19","0.1","20060","670288"
"Mark Melancon","ARI","3","10","18","62","0","56.0","5.63","3.38","0.80",".314","61.5%","44.1%","8.3%","91.2","4.66","4.78","4.20","4.63","0.1","4264","453343"
"Joan Adon","WSN","1","12","0","14","14","64.2","7.65","5.43","1.11",".337","61.9%","47.8%","11.8%","95.0","7.10","6.01","5.11","5.06","0.1","22925","672851"
"Beau Brieske","DET","3","6","0","15","15","81.2","5.95","2.76","1.54",".241","75.6%","37.5%","12.5%","94.4","4.19","5.60","4.97","4.78","0.1","26079","689225"
"Ryan Tepera","LAA","5","4","6","59","0","57.1","7.38","3.14","1.10",".224","68.3%","41.0%","11.1%","92.8","3.61","3.24","4.21","4.25","0.1","10291","572193"
"Gabe Speier","KCR","0","1","0","17","1","19.1","6.52","2.33","0.93",".250","87.9%","45.6%","8.7%","93.7","2.33","2.76","3.78","4.20","0.1","17170","642100"
"Cody Morris","CLE","1","2","0","7","5","23.2","8.75","4.56","1.14",".290","86.8%","35.4%","12.5%","94.7","2.28","4.94","4.34","4.19","0.1","25388","663752"
"James Norwood","PHI","1","0","0","20","0","17.1","11.42","4.67","1.04",".423","53.0%","33.3%","10.5%","96.8","8.31","4.43","3.63","3.75","0.1","16440","656803"
"Jhonathan Diaz","LAA","1","1","0","4","3","15.1","6.46","5.87","0.59",".273","83.3%","51.1%","7.1%","91.5","2.93","4.81","4.48","4.99","0.1","20298","646242"
"Jordan Weems","WSN","0","1","0","32","0","39.2","9.30","2.72","1.59",".264","61.8%","33.9%","13.0%","96.8","5.22","3.39","4.25","3.97","0.1","13190","607179"
"Matthew Boyd","SEA","2","0","0","10","0","13.1","8.78","5.40","0.00",".161","85.7%","41.4%","0.0%","92.7","1.35","2.70","3.19","4.41","0.1","15440","571510"
"Jose Cisnero","DET","1","0","0","28","0","25.0","8.28","6.84","0.00",".242","88.6%","37.1%","0.0%","95.7","1.08","3.91","3.67","5.09","0.1","6399","542585"
"Julian Merryweather","TOR","0","3","0","26","1","26.2","7.76","2.36","1.35",".325","58.1%","48.2%","11.8%","97.4","6.75","4.49","4.35","4.29","0.1","16703","657240"
"Matt Barnes","BOS","0","4","8","44","0","39.2","7.71","4.76","0.45",".293","66.4%","45.3%","4.3%","95.2","4.31","4.28","3.87","4.97","0.1","12863","598264"
"Mauricio Llovera","SFG","0","0","0","17","1","16.1","11.02","4.41","1.10",".286","72.9%","46.5%","12.5%","95.3","4.41","2.76","3.72","3.58","0.1","20080","661440"
"Shane Baz","TBR","1","2","0","6","6","27.0","10.00","3.00","1.67",".306","73.3%","42.9%","19.2%","96.0","5.00","4.25","4.41","3.43","0.1","22264","669358"
"Yerry De Los Santos","PIT","0","3","3","26","0","25.2","9.12","3.86","1.05",".268","53.7%","52.8%","12.0%","95.2","4.91","4.68","4.01","3.93","0.1","21420","660787"
"Casey Mize","DET","0","1","0","2","2","10.0","3.60","1.80","0.90",".316","66.2%","36.8%","5.6%","94.0","5.40","5.97","4.21","5.58","0.1","20492","663554"
"Zack Thompson","STL","1","1","1","22","1","34.2","7.01","3.63","0.78",".185","83.9%","53.7%","10.7%","94.8","2.08","3.72","3.89","3.96","0.1","25918","668868"
"Tayler Scott","SDP","0","1","0","8","0","12.0","9.75","4.50","0.75",".462","63.6%","45.0%","8.3%","94.1","6.75","4.87","3.53","3.93","0.1","13652","605463"
"Hyun-Jin Ryu","TOR","2","0","0","6","6","27.0","5.33","1.33","1.67",".307","65.5%","45.7%","14.7%","89.4","5.67","5.24","4.78","4.24","0.1","14444","547943"
"David Price","LAD","2","0","2","40","0","40.1","8.26","2.01","1.34",".278","93.3%","55.8%","17.1%","92.5","2.45","3.83","3.88","3.23","0.1","3184","456034"
"Trevor May","NYM","2","0","1","26","0","25.0","10.80","3.24","1.44",".338","72.4%","29.2%","12.1%","96.2","5.04","3.64","3.87","3.75","0.1","6398","543507"
"Mark Appel","PHI","0","0","0","6","0","10.1","4.35","2.61","0.00",".281","83.3%","56.3%","0.0%","94.7","1.74","3.12","3.02","4.31","0.1","14823","571446"
"Nick Wittgren","STL","1","0","1","29","0","29.0","5.28","3.10","0.31",".333","63.0%","43.0%","2.9%","91.6","5.90","4.20","3.84","5.12","0.1","15594","621295"
"Josh Winder","MIN","4","6","0","15","11","67.0","6.31","2.42","1.48",".282","71.8%","35.0%","11.2%","94.3","4.70","5.21","4.87","4.90","0.1","24606","680739"
"Matt Bush","- - -","2","3","3","65","6","59.2","11.16","2.72","1.66",".232","67.9%","40.1%","17.2%","97.4","3.47","2.64","4.08","3.28","0.1","1246","456713"
"Jaime Barria","LAA","3","3","0","35","1","79.1","6.13","2.16","1.25",".227","80.5%","40.9%","11.3%","92.1","2.61","4.11","4.39","4.39","0.1","18356","642545"
"Daniel Castano","MIA","1","3","0","10","7","35.2","5.05","2.27","1.26",".308","71.7%","45.9%","14.3%","91.7","4.04","4.81","4.74","4.37","0.1","19805","641447"
"Tim Mayza","TOR","8","1","2","63","0","48.2","8.14","2.22","1.29",".271","79.6%","57.9%","25.9%","93.7","3.14","4.17","3.98","2.93","0.1","15042","641835"
"Logan Gillaspie","BAL","1","0","0","17","0","17.1","5.19","1.56","0.52",".328","72.0%","37.3%","5.3%","95.3","3.12","5.53","3.57","4.45","0.1","22461","670810"
"Phil Bickford","LAD","2","1","0","60","0","61.0","9.89","2.07","1.77",".270","69.0%","37.3%","15.6%","94.1","4.72","3.46","4.26","3.57","0.1","18519","641360"
"Josh Sborz","TEX","1","0","0","19","1","22.1","12.90","4.43","1.61",".396","65.8%","29.8%","17.4%","97.0","6.45","4.97","4.05","3.25","0.1","18323","622250"
"Miguel Castro","NYY","5","0","0","34","0","29.0","9.62","4.66","0.62",".316","69.4%","47.5%","8.0%","","4.03","4.87","3.84","4.22","0.1","15684","612434"
"Drew Hutchison","DET","3","9","0","28","18","105.1","5.81","3.59","1.28",".294","73.0%","40.3%","11.4%","92.7","4.53","5.38","4.93","4.93","0.1","10732","571800"
"Chase Anderson","CIN","2","4","0","9","7","24.0","8.63","5.63","1.13",".237","55.2%","51.6%","15.8%","92.1","6.38","3.78","5.07","4.62","0.1","6895","502624"
"Mason Thompson","WSN","1","1","1","24","0","24.2","5.47","3.28","0.73",".230","80.2%","53.3%","8.3%","95.6","2.92","3.72","4.17","4.55","0.1","21850","666168"
"Josh Staumont","KCR","3","3","3","42","0","37.2","10.27","6.93","0.72",".340","62.1%","30.4%","6.7%","96.3","6.45","4.97","4.25","4.99","0.1","18335","622251"
"Marco Gonzales","SEA","10","15","0","32","32","183.0","5.07","2.46","1.48",".277","73.7%","42.0%","12.3%","88.7","4.13","4.59","5.05","4.90","0.1","15467","594835"
"Rowan Wick","CHC","4","7","9","64","0","64.0","9.70","4.08","1.27",".376","74.7%","44.3%","15.5%","95.0","4.22","5.35","4.19","3.70","0.0","14646","592858"
"Touki Toussaint","LAA","1","1","0","8","2","25.1","9.24","6.75","0.71",".228","71.0%","53.6%","11.8%","93.0","4.62","4.02","4.81","4.78","0.0","16929","657053"
"Michael Rucker","CHC","3","1","0","41","0","54.2","8.23","3.29","1.32",".278","76.5%","43.4%","12.7%","94.9","3.95","3.64","4.28","4.09","0.0","19454","621074"
"Tyler Cyr","- - -","1","0","0","12","0","13.1","10.80","3.38","1.35",".290","91.5%","48.5%","25.0%","94.5","2.70","4.31","4.01","2.95","0.0","18421","664202"
"Zack Weiss","LAA","0","1","0","12","0","13.1","12.15","4.73","1.35",".179","73.8%","34.5%","14.3%","94.5","3.38","2.41","4.16","3.77","0.0","15444","592848"
"Darren O'Day","ATL","2","2","0","28","0","21.2","10.80","4.15","1.25",".296","69.8%","38.6%","10.7%","85.9","4.15","2.70","4.04","4.15","0.0","3321","503285"
"Matt Gage","TOR","0","1","0","11","0","13.0","8.31","4.15","0.69",".167","77.6%","50.0%","9.1%","92.7","1.38","3.05","3.88","4.13","0.0","17381","657424"
"Taylor Widener","ARI","0","1","0","14","0","17.1","7.27","2.60","1.04",".345","80.9%","31.7%","6.9%","93.8","3.63","4.02","4.38","5.36","0.0","19266","642203"
"Phillips Valdez","BOS","0","1","0","13","0","16.1","7.16","3.86","0.00",".261","56.0%","58.7%","0.0%","","4.41","4.17","3.91","5.09","0.0","15605","570488"
"Robert Dugger","- - -","0","1","0","4","1","16.0","10.69","3.94","1.69",".372","68.8%","28.3%","15.0%","89.8","6.19","4.81","4.49","3.90","0.0","19191","667498"
"Domingo Acevedo","OAK","4","4","4","70","0","67.2","7.71","2.26","1.20",".229","76.7%","40.8%","12.3%","93.2","3.33","3.46","4.01","3.88","0.0","17092","642758"
"Danny Coulombe","MIN","0","0","0","10","0","12.1","6.57","6.57","0.00",".200","81.3%","37.1%","0.0%","91.8","1.46","3.08","3.84","5.52","0.0","13293","543056"
"Luke Bard","- - -","1","1","0","9","0","15.0","4.80","4.20","0.00",".167","81.3%","39.0%","0.0%","94.1","1.80","5.60","3.85","5.03","0.0","14288","572703"
"Reiss Knehr","SDP","0","0","0","5","1","13.2","6.59","2.63","0.66",".250","73.9%","29.3%","5.6%","93.0","3.95","4.31","4.36","5.35","0.0","21541","663753"
"Wily Peralta","DET","2","0","0","28","1","38.1","7.51","5.63","0.47",".294","83.6%","46.4%","5.6%","95.5","2.58","4.14","4.08","4.79","0.0","7738","503449"
"Jesus Tinoco","TEX","0","0","0","17","2","20.2","7.84","4.35","0.87",".189","89.1%","37.0%","8.0%","96.1","2.18","3.51","4.23","4.76","0.0","16300","622786"
"Hunter Strickland","CIN","3","3","7","66","0","62.1","8.66","4.76","1.16",".301","71.3%","34.2%","10.3%","95.2","4.91","5.38","4.78","4.96","0.0","7836","519326"
"Hirokazu Sawamura","BOS","1","1","0","49","0","50.2","7.11","4.80","0.71",".273","73.8%","50.0%","8.5%","96.1","3.73","4.31","4.16","4.51","0.0","27515","617228"
"Ryan Yarbrough","TBR","3","8","0","20","9","80.0","6.86","2.48","1.35",".305","73.9%","37.9%","11.5%","86.9","4.50","4.40","4.77","4.75","0.0","16502","642232"
"Matthew Liberatore","STL","2","2","0","9","7","34.2","7.27","4.67","1.30",".339","70.4%","38.4%","11.9%","93.8","5.97","5.49","5.02","4.93","0.0","22294","669461"
"Kenny Rosenberg","LAA","0","0","0","3","1","10.2","6.75","5.06","0.84",".250","73.5%","24.2%","6.3%","90.9","4.22","3.97","4.52","5.52","0.0","20009","670046"
"Ronny Henriquez","MIN","0","1","0","3","0","11.2","6.94","2.31","0.77",".200","77.6%","52.8%","7.1%","93.2","2.31","3.03","3.97","4.63","0.0","24094","678692"
"Anthony Banda","- - -","1","1","0","32","1","26.2","10.13","4.39","1.35",".453","72.5%","33.3%","11.4%","95.2","6.75","5.01","4.50","4.49","0.0","14706","607455"
"Anthony Misiewicz","- - -","1","2","0","32","0","29.0","8.38","3.10","1.24",".288","70.1%","37.3%","10.5%","93.6","4.34","4.05","4.08","4.22","0.0","18152","664948"
"Anthony DeSclafani","SFG","0","2","0","5","5","19.0","8.05","1.89","1.89",".441","53.9%","43.7%","15.4%","93.0","6.63","5.49","4.85","4.14","0.0","13050","543101"
"Ryan Weber","NYY","0","0","1","5","0","10.2","2.53","0.84","0.84",".156","100.0%","60.6%","14.3%","","0.84","4.65","4.05","3.80","0.0","10160","543901"
"Luis Cessa","CIN","4","4","0","46","10","80.2","6.58","3.12","1.56",".266","71.8%","48.8%","16.9%","93.5","4.57","4.43","5.02","4.29","0.0","13345","570666"
"Dominic Leone","SFG","4","5","3","55","0","49.1","9.49","4.38","1.09",".350","77.9%","38.9%","10.9%","95.4","4.01","3.72","4.04","4.11","0.0","13763","608678"
"Caleb Kilian","CHC","0","2","0","3","3","11.1","7.15","9.53","0.00",".324","37.5%","50.0%","0.0%","94.8","10.32","4.37","4.97","6.79","0.0","26213","668873"
"Jack Flaherty","STL","2","1","0","9","8","36.0","8.25","5.50","1.00",".311","78.4%","41.7%","11.8%","93.4","4.25","4.94","4.97","4.93","0.0","17479","656427"
"Adonis Medina","NYM","1","0","1","14","0","23.2","6.46","2.28","0.76",".346","59.1%","51.9%","8.7%","93.3","6.08","5.28","4.04","4.38","0.0","19903","658431"
"Jonathan Hernandez","TEX","2","3","4","29","0","30.1","8.01","5.04","0.59",".286","72.8%","62.4%","11.1%","96.2","2.97","4.08","3.97","3.99","0.0","17464","642546"
"Zack Kelly","BOS","1","0","0","13","0","13.2","7.24","2.63","1.32",".286","78.9%","45.5%","11.1%","94.7","3.95","2.76","4.28","4.33","0.0","20349","677161"
"Huascar Brazoban","MIA","1","1","0","27","0","32.0","11.25","5.91","0.84",".307","80.4%","49.4%","12.0%","97.4","3.09","3.62","3.99","3.93","0.0","6107","623211"
"Tyler Thornburg","- - -","0","1","0","14","0","19.0","6.63","5.21","0.47",".250","67.7%","32.8%","3.2%","93.5","3.32","3.10","4.22","5.95","0.0","10688","592804"
"Robert Gsellman","CHC","0","2","1","8","0","15.1","5.28","1.76","1.17",".300","58.1%","41.2%","11.1%","93.5","4.70","7.22","4.22","4.26","0.0","13696","607229"
"Cristopher Sanchez","PHI","2","2","1","15","3","40.0","7.88","3.83","1.13",".284","65.4%","54.2%","14.7%","","5.63","4.31","4.56","4.20","0.0","20778","650911"
"Kyle Muller","ATL","1","1","0","3","3","12.1","8.76","5.84","1.46",".297","54.9%","39.5%","18.2%","94.3","8.03","5.49","5.22","4.43","0.0","20167","666205"
"Chris Devenski","- - -","2","1","0","13","0","14.2","7.36","0.61","1.84",".360","47.9%","41.5%","13.6%","94.1","8.59","5.11","4.54","4.11","0.0","12763","606965"
"Drew Steckenrider","SEA","0","2","2","16","0","14.1","6.28","3.14","1.26",".373","73.3%","34.0%","11.1%","94.4","5.65","8.33","4.58","4.62","0.0","18806","608716"
"Matt Peacock","- - -","0","0","0","9","0","10.0","5.40","3.60","0.90",".314","68.5%","60.0%","16.7%","","5.40","3.70","4.41","4.00","0.0","20339","676840"
"Ashton Goudeau","COL","1","0","1","12","0","20.1","7.08","4.43","1.33",".338","55.2%","36.8%","10.7%","92.8","7.08","4.62","4.93","5.05","0.0","15139","623485"
"Jake Reed","- - -","2","0","1","18","0","16.2","7.02","4.32","1.08",".294","51.6%","39.6%","8.7%","91.8","7.02","4.74","5.09","5.58","0.0","16209","596082"
"Glenn Otto","TEX","7","10","0","27","27","135.2","7.10","4.11","1.39",".255","72.9%","43.1%","14.1%","92.5","4.64","5.01","5.21","4.82","0.0","21366","657248"
"Josh Winckowski","BOS","5","7","0","15","14","70.1","5.63","3.45","1.28",".322","67.0%","51.9%","13.9%","93.8","5.89","4.84","4.95","4.61","0.0","22387","670174"
"Corey Knebel","PHI","3","5","12","46","0","44.2","8.26","5.64","0.81",".244","71.4%","39.3%","8.5%","95.8","3.43","3.80","4.46","4.85","0.0","15010","608349"
"Tommy Hunter","NYM","0","1","0","18","0","22.1","8.87","2.42","1.61",".274","88.8%","40.0%","13.3%","93.4","2.42","4.53","4.28","3.94","0.0","1157","488984"
"Sam Moll","OAK","2","1","0","53","0","43.1","9.55","4.57","1.04",".252","82.4%","50.0%","12.8%","","2.91","2.96","4.22","4.05","0.0","14874","594580"
"Andrew Wantz","LAA","2","1","0","42","1","50.1","9.30","3.75","1.43",".240","84.0%","29.7%","11.9%","93.8","3.22","3.89","4.48","4.39","0.0","24933","681806"
"Beau Sulser","- - -","0","0","0","10","0","22.1","7.66","3.63","1.21",".313","67.1%","47.1%","12.5%","93.1","3.63","3.22","4.50","4.35","0.0","23420","676641"
"Justin Grimm","OAK","0","0","0","15","0","15.1","6.46","4.11","0.59",".340","74.2%","41.2%","5.3%","93.0","4.11","5.14","4.29","5.27","0.0","11720","518748"
"Greg Weissert","NYY","3","0","0","12","0","11.1","8.74","3.97","0.79",".172","51.7%","40.0%","7.7%","94.5","5.56","2.87","4.17","4.72","0.0","20375","669711"
"Michael Grove","LAD","1","0","0","7","6","29.1","7.36","3.07","1.84",".280","62.5%","40.2%","13.3%","94.2","4.60","3.10","5.16","4.77","0.0","23221","675627"
"Edwin Uceta","ARI","0","0","0","10","0","17.0","6.88","3.71","1.06",".240","52.1%","42.3%","9.1%","93.4","5.82","3.57","4.52","4.91","0.0","20539","670955"
"John King","TEX","1","4","0","39","0","51.1","5.26","2.45","0.88",".326","71.0%","64.6%","17.2%","","4.03","4.20","4.09","3.66","0.0","22051","667463"
"Eric Stout","- - -","0","0","1","20","0","22.1","10.07","6.45","0.81",".359","70.4%","34.8%","6.5%","92.2","5.64","4.37","4.59","5.48","0.0","16873","657770"
"Jandel Gustave","MIL","2","0","0","27","0","28.0","8.68","3.54","1.29",".276","77.2%","50.0%","14.3%","96.2","3.86","4.00","4.43","4.06","0.0","14665","594311"
"Sam Coonrod","PHI","0","0","0","12","0","12.2","8.53","4.97","0.71",".314","48.5%","36.1%","7.7%","97.1","7.82","4.05","4.61","5.11","0.0","17264","656322"
"Luke Farrell","- - -","0","0","0","6","2","15.0","8.40","4.20","1.80",".326","72.1%","30.6%","15.0%","91.1","5.40","5.63","5.25","4.62","0.0","15101","608652"
"Tommy Kahnle","LAD","0","0","1","13","0","12.2","9.95","2.13","1.42",".125","85.4%","68.0%","28.6%","95.6","2.84","2.39","4.38","3.14","0.0","11384","592454"
"Max Castillo","- - -","0","2","0","14","6","39.1","8.47","3.43","1.83",".278","61.6%","46.9%","19.5%","93.0","5.95","4.74","5.17","4.07","-0.1","21956","666721"
"Jose Cuas","KCR","4","2","1","47","0","37.2","8.12","5.73","0.48",".325","77.0%","49.1%","6.7%","90.8","3.58","4.34","4.39","4.88","-0.1","17701","621016"
"JT Chargois","TBR","2","0","0","21","3","22.1","6.85","2.01","1.21",".220","85.1%","59.7%","15.0%","95.6","2.42","2.59","4.28","3.86","-0.1","13767","608638"
"Reiver Sanmartin","CIN","4","4","0","45","4","57.0","7.42","4.58","1.26",".337","62.1%","54.5%","14.8%","91.0","6.32","3.89","4.81","4.39","-0.1","19754","665665"
"Paul Fry","- - -","0","0","0","13","0","13.0","9.69","6.23","0.69",".286","58.3%","62.9%","25.0%","91.9","6.23","5.11","4.50","3.95","-0.1","15832","643316"
"Trent Thornton","TOR","0","2","0","32","0","46.0","7.24","3.33","1.37",".260","76.8%","34.3%","12.5%","93.8","4.11","5.17","4.66","4.48","-0.1","17948","663423"
"Drew Smith","NYM","3","3","0","44","0","46.0","10.37","2.93","1.76",".264","89.1%","34.5%","15.0%","95.8","3.33","3.78","4.33","3.72","-0.1","17755","622098"
"Alex Colome","COL","2","7","4","53","0","47.0","6.13","4.21","0.96",".333","59.7%","55.6%","11.4%","94.5","5.74","5.78","4.54","4.54","-0.1","6661","517008"
"Justus Sheffield","SEA","1","0","0","6","1","11.2","5.40","4.63","0.77",".222","75.3%","58.3%","11.1%","91.7","3.86","5.38","4.83","4.85","-0.1","17285","656954"
"Bryan Garcia","DET","2","0","0","4","4","20.1","7.52","4.43","1.33",".216","83.3%","40.7%","13.6%","93.1","3.54","5.31","5.28","4.96","-0.1","19457","650530"
"Phil Maton","HOU","0","2","0","67","0","65.2","10.01","3.29","1.37",".289","73.7%","38.2%","15.4%","91.1","3.84","4.28","4.33","3.82","-0.1","18064","664208"
"Chad Smith","COL","0","1","0","15","0","18.0","11.50","7.50","1.00",".326","59.6%","55.6%","14.3%","","7.50","3.91","4.83","4.54","-0.1","20190","663385"
"Sean Reid-Foley","NYM","0","0","0","7","0","10.0","7.20","6.30","0.90",".222","66.2%","39.3%","7.1%","96.0","5.40","3.31","5.21","5.98","-0.1","17034","656887"
"Wil Crowe","PIT","6","10","4","60","1","76.0","8.05","4.50","0.95",".279","70.6%","49.8%","11.6%","95.3","4.38","4.20","4.31","4.29","-0.1","19800","640444"
"Tyler Alexander","DET","4","11","0","27","17","101.0","5.44","2.23","1.60",".280","69.9%","35.2%","12.6%","90.2","4.81","5.42","4.99","4.77","-0.1","17735","641302"
"Derek Law","- - -","2","3","0","17","0","19.2","7.78","3.66","1.37",".323","69.4%","46.9%","15.8%","95.4","4.12","4.78","4.89","4.34","-0.1","13133","571882"
"Angel Zerpa","KCR","2","1","0","3","2","11.0","2.45","2.45","1.64",".194","97.8%","51.4%","16.7%","94.2","1.64","7.59","5.75","5.00","-0.1","22717","672582"
"Dillon Peters","PIT","5","2","0","22","4","39.1","5.95","3.89","1.14",".256","71.1%","43.0%","10.4%","93.1","4.58","4.49","4.74","4.89","-0.1","18790","596071"
"Paolo Espino","WSN","0","9","0","42","19","113.1","7.31","1.91","1.91",".310","75.4%","39.1%","16.0%","88.5","4.84","4.78","4.93","4.14","-0.1","8246","502179"
"Cole Sands","MIN","0","3","1","11","3","30.2","8.22","3.82","1.17",".326","67.5%","44.4%","9.8%","91.7","5.87","4.43","4.74","5.03","-0.1","21461","663485"
"Stephen Nogosek","NYM","1","1","0","12","0","22.0","8.59","2.86","1.64",".258","80.4%","33.3%","12.1%","95.0","2.45","3.89","4.66","4.51","-0.1","19545","668665"
"Yoan Lopez","NYM","1","0","0","8","0","11.0","8.18","4.09","1.64",".364","69.8%","40.0%","11.8%","95.9","5.73","4.02","5.29","5.22","-0.1","17181","661255"
"Blake Taylor","HOU","1","1","0","19","0","16.0","5.06","5.63","0.56",".259","77.2%","45.5%","6.3%","92.7","3.94","4.31","4.86","5.53","-0.1","16418","642130"
"Brandon Bielak","HOU","0","0","0","5","0","12.1","8.76","2.92","1.46",".273","85.5%","51.4%","13.3%","93.4","3.65","4.25","4.98","4.67","-0.1","19866","656232"
