Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
722,Chad Smith,27,COL,18.0,15,0,15,7.50,4.52,0.04,-0.30,0.00,116.9,4.89,-5,-0.5,.81,0.0,-0.4,-4,.464,.497,,Traded,smithch12
723,Drew Smith,28,NYM,46.0,44,0,17,3.33,4.40,-0.01,-0.29,0.12,94.4,3.99,3,0.4,1.19,-0.1,0.7,8,.508,.502,$750000,Traded,smithdr01
724,Joe Smith,38,MIN,27.1,34,0,18,5.93,4.18,0.23,-0.28,0.20,98.5,3.81,-6,-0.7,1.36,-0.2,-0.6,-4,.480,.496,$2500000,Free Agency,smithjo05
725,Will Smith*,32,2TM,59.0,65,0,35,5.34,4.29,0.30,-0.29,0.28,100.0,3.99,-9,-0.9,1.03,-0.2,-0.6,-4,.486,.496,$13000000,Free Agency,smithwi04
726,Drew Smyly*,33,CHC,106.1,22,22,46,3.89,4.38,0.02,0.20,0.00,102.7,4.68,9,1.0,,-0.1,1.9,19,.546,.506,$4250000,Free Agency,smylydr01
727,Kirby Snead*,27,OAK,44.2,46,0,31,6.25,4.35,-0.18,-0.29,0.00,95.4,4.05,-11,-1.1,.81,0.0,-0.7,-7,.475,.493,,Traded,sneadki01
728,Blake Snell*,29,SDP,128.0,24,24,51,3.59,4.54,0.11,0.21,0.00,91.2,4.23,9,1.0,,-0.1,2.1,21,.541,.506,$13100000,Traded,snellbl01
729,Collin Snider,26,KCR,34.1,42,0,25,6.55,4.42,-0.27,-0.29,0.16,105.7,4.82,-6,-0.7,1.36,-0.2,-0.6,-4,.484,.496,,Amateur Draft,snideco01
730,Nicklaus Snyder,26,TEX,1.0,2,0,2,18.00,5.23,0.09,-0.35,0.00,102.0,4.89,-1,-0.1,.60,0.0,-0.1,-1,.426,.499,,Free Agency,snydeni01
731,Jared Solomon,25,CIN,8.1,9,0,10,10.80,4.04,-0.20,-0.27,0.00,115.0,4.57,-6,-0.6,.27,0.2,-0.3,-5,.436,.496,,Free Agency,solomja01
732,Gregory Soto*,27,DET,60.1,64,0,32,4.77,4.34,0.15,-0.29,0.46,96.8,4.22,-3,-0.4,1.86,-0.3,-0.1,2,.494,.498,,Amateur Free Agent,sotogr01
733,Bennett Sousa*,27,CHW,20.1,25,0,20,8.85,4.31,-0.18,-0.29,0.00,101.6,4.27,-10,-1.1,1.13,-0.1,-1.0,-9,.457,.493,,Amateur Draft,sousabe01
734,Gabe Speier*,27,KCR,19.1,17,1,5,2.33,4.44,-0.25,-0.24,0.00,106.3,4.72,5,0.6,.75,-0.1,0.7,7,.534,.504,,Traded,speiega01
735,Jeffrey Springs*,29,TBR,135.1,33,25,42,2.79,4.39,0.14,0.16,0.00,95.5,4.21,22,2.5,1.39,-0.1,3.7,33,.576,.515,$948000,Traded,sprinje01
736,Locke St. John*,29,CHC,2.0,1,0,3,13.50,4.65,0.02,-0.31,0.00,94.0,4.06,-2,-0.2,.06,0.1,-0.1,-2,.316,.499,,Free Agency,stjohlo01
737,Craig Stammen,38,SDP,40.2,33,1,22,4.87,4.56,0.14,-0.27,0.00,93.9,3.90,-4,-0.5,.73,0.0,-0.1,-1,.486,.497,$4000000,Free Agency,stammcr01
738,Ryne Stanek,30,HOU,54.2,59,0,8,1.32,4.25,0.41,-0.28,0.10,98.9,3.62,14,1.6,1.24,0.1,2.2,19,.527,.510,$2100000,Free Agency,stanery01
739,Cody Stashak,28,MIN,16.1,11,0,7,3.86,4.06,0.20,-0.27,0.00,100.5,3.61,0,0.0,.62,0.0,0.1,1,.496,.500,,Amateur Draft,stashco01
740,Josh Staumont,28,KCR,37.2,42,0,28,6.69,4.35,-0.22,-0.29,0.00,106.3,4.55,-9,-0.9,1.17,-0.2,-0.7,-6,.478,.494,,Amateur Draft,staumjo01
741,Drew Steckenrider,31,SEA,14.1,16,0,9,5.65,4.38,0.35,-0.29,0.00,94.9,3.55,-3,-0.4,1.38,-0.1,-0.3,-2,.478,.498,$3100000,Free Agency,steckdr01
742,Justin Steele*,26,CHC,119.0,24,24,53,4.01,4.40,0.02,0.20,0.00,101.8,4.66,9,0.9,,-0.1,2.0,20,.539,.506,,Amateur Draft,steelju01
743,Trevor Stephan,26,CLE,63.2,66,0,24,3.39,4.23,0.44,-0.28,0.52,97.7,3.94,4,0.4,1.47,-0.1,1.0,10,.507,.503,,Rule 5 Draft,stephtr01
744,Jackson Stephens,28,ATL,53.2,39,1,32,5.37,4.31,0.20,-0.26,0.83,99.0,4.64,-4,-0.5,.76,-0.1,0.0,1,.488,.497,,Free Agency,stephja01
745,Robert Stephenson,29,2TM,58.0,58,0,39,6.05,4.53,0.04,-0.30,0.19,112.4,4.93,-7,-0.8,.89,-0.1,-0.3,-2,.487,.496,$1280000,Traded,stephro01
746,Eric Stout*,29,2TM,22.1,20,0,15,6.04,4.64,0.00,-0.31,0.00,100.2,4.34,-4,-0.4,.71,0.0,-0.2,-2,.478,.498,,Free Agency,stouter01
747,Matt Strahm*,30,BOS,44.2,50,0,24,4.84,4.45,0.05,-0.30,0.25,108.3,4.72,0,0.0,1.58,-0.1,0.3,3,.499,.500,$3000000,Free Agency,strahma01
748,Dee Strange-Gordon,34,WSN,1.0,1,0,3,27.00,4.82,-0.34,-0.32,0.00,100.0,4.84,-2,-0.2,.00,0.1,-0.1,-2,.292,.499,,Free Agency,gordode01
749,Stephen Strasburg,33,WSN,4.2,1,1,7,13.50,3.70,-0.28,0.17,0.00,100.0,4.14,-5,-0.3,,0.0,-0.3,-4,.173,.498,$35000000,Free Agency,strasst01
750,Chris Stratton,31,2TM,63.1,60,1,34,4.83,4.31,0.13,-0.27,0.35,100.3,4.28,-4,-0.4,1.24,-0.3,-0.1,2,.493,.498,$2700000,Purchased,stratch01
751,Hunter Strickland,33,CIN,62.1,66,0,37,5.34,4.49,-0.20,-0.30,0.00,109.9,4.82,-4,-0.4,.89,-0.1,0.1,2,.494,.498,$1825000,Free Agency,strichu01
752,Spencer Strider,23,ATL,131.2,31,20,42,2.87,4.50,0.14,0.13,0.00,99.4,4.46,23,2.6,1.00,-0.2,3.7,35,.583,.516,,Amateur Draft,stridsp01
753,Ross Stripling,32,TOR,134.1,32,24,49,3.28,4.29,0.29,0.16,0.00,100.5,4.18,14,1.6,1.76,-0.1,2.8,25,.549,.510,$3790000,Traded,stripro01
754,Marcus Stroman,31,CHC,138.2,25,25,61,3.96,4.52,0.02,0.21,0.00,101.4,4.78,12,1.4,,-0.1,2.6,25,.555,.508,$25000000,Free Agency,stromma01
755,Peter Strzelecki,27,MIL,35.0,30,0,13,3.34,4.51,0.29,-0.30,0.16,98.5,4.02,3,0.3,.91,-0.1,0.5,6,.509,.502,,Free Agency,strzepe01
756,Garrett Stubbs,29,PHI,3.2,4,0,7,17.18,4.42,-0.49,-0.30,0.00,99.6,4.59,-5,-0.5,.00,0.2,-0.2,-5,.379,.497,,Traded,stubbga01
757,José Suarez*,24,LAA,109.0,22,20,49,4.05,4.30,0.10,0.20,0.00,102.1,4.48,6,0.6,1.89,-0.1,1.6,15,.529,.504,,Amateur Free Agent,suarejo01
758,Ranger Suárez*,26,PHI,155.1,29,29,74,4.29,4.41,-0.34,0.20,0.00,99.1,4.91,11,1.1,,-0.1,2.5,25,.540,.507,,Amateur Free Agent,suarera01
759,Robert Suarez,31,SDP,47.2,45,0,13,2.45,4.36,0.10,-0.29,0.23,94.3,3.97,8,0.9,1.57,0.1,1.4,12,.519,.505,,Free Agency,suarero01
760,Beau Sulser,28,2TM,22.1,10,0,14,5.64,4.37,0.14,-0.29,0.00,109.9,4.31,-3,-0.3,.35,0.1,0.0,-1,.469,.499,,Waivers,sulsebe01
761,Cole Sulser,32,MIA,34.0,39,0,23,6.09,4.62,0.11,-0.31,0.17,99.1,4.34,-7,-0.7,1.11,-0.1,-0.5,-4,.482,.496,,Traded,sulseco01
762,Brent Suter*,32,MIL,66.2,54,0,32,4.32,4.36,0.32,-0.29,0.42,97.5,4.06,-2,-0.2,.80,-0.2,0.3,4,.496,.499,$2700000,Amateur Draft,suterbr01
763,Erik Swanson,28,SEA,53.2,57,1,11,1.84,4.28,0.22,-0.27,0.10,93.1,3.63,11,1.2,1.26,0.0,1.7,15,.521,.507,,Traded,swanser01
764,Matt Swarmer,28,CHC,34.0,11,5,26,6.88,4.63,0.02,0.07,0.00,101.0,4.73,-8,-0.8,.53,0.0,-0.5,-5,.426,.495,,Amateur Draft,swarmma01
765,Noah Syndergaard,29,2TM,134.2,25,24,62,4.14,4.13,-0.09,0.18,0.00,104.3,4.59,7,0.8,1.19,-0.1,1.9,19,.531,.503,$21000000,Free Agency,syndeno01
766,Thomas Szapucki*,26,2TM,15.0,11,1,12,7.20,4.40,-0.27,-0.25,0.00,103.1,4.55,-4,0.0,.95,0.0,0.1,-3,.501,.502,,Amateur Draft,szaputh01
767,Jameson Taillon,30,NYY,177.1,32,32,78,3.96,4.34,0.75,0.20,0.00,100.4,3.81,-2,-0.2,,-0.1,1.3,13,.493,.499,$5800000,Traded,taillja01
768,Domingo Tapia,30,OAK,17.0,11,0,16,8.47,4.25,-0.20,-0.28,0.00,95.7,3.99,-8,-0.8,.17,0.3,-0.4,-7,.423,.495,,Waivers,tapiado01
769,Freddy Tarnok,23,ATL,0.2,1,0,0,0.00,5.08,0.20,-0.34,0.00,100.0,4.54,0,0.0,.17,0.0,0.0,0,.536,.500,,Amateur Draft,tarnofr01
770,Dillon Tate,28,BAL,73.2,67,0,29,3.54,4.43,0.22,-0.29,0.23,103.5,4.29,6,0.7,1.25,-0.1,1.3,13,.511,.504,,Traded,tatedi01
771,Blake Taylor*,26,HOU,16.0,19,0,7,3.94,4.33,0.59,-0.29,0.00,98.5,3.39,-1,-0.1,.88,0.0,0.0,0,.495,.499,,Traded,taylobl01
772,Michael A. Taylor,31,KCR,2.0,1,0,2,9.00,4.39,-0.36,-0.29,0.00,110.0,4.91,-1,-0.1,.00,0.0,0.0,-1,.410,.499,$4500000,Free Agency,taylomi02
773,Ryan Tepera,34,LAA,57.1,59,0,27,4.24,4.32,0.10,-0.29,0.39,101.9,4.41,1,0.1,1.73,-0.1,0.6,6,.502,.501,$7000000,Free Agency,teperry01
774,Jackson Tetreault,26,WSN,21.0,4,4,15,6.43,4.47,-0.32,0.20,0.00,94.4,4.71,-4,-0.4,,0.0,-0.2,-2,.402,.498,,Amateur Draft,tetreja01
775,Caleb Thielbar*,35,MIN,59.1,67,0,26,3.94,4.25,0.17,-0.28,0.19,99.6,3.98,0,0.1,1.47,-0.1,0.5,5,.501,.500,$1300000,Free Agency,thielca01
776,Keegan Thompson,27,CHC,115.0,29,17,54,4.23,4.30,0.02,0.04,0.00,102.6,4.43,3,0.3,1.70,-0.1,1.2,13,.509,.502,,Amateur Draft,thompke02
777,Mason Thompson,24,WSN,24.2,24,0,8,2.92,4.74,-0.27,-0.32,0.00,93.3,4.38,4,0.4,.45,-0.2,0.5,6,.518,.503,,Traded,thompma02
778,Ryan Thompson,30,TBR,42.2,47,0,24,5.06,4.38,0.16,-0.29,0.52,96.0,4.27,-4,-0.4,1.48,-0.2,-0.2,0,.492,.498,,Rule 5 Draft,thompry02
779,Zach Thompson,28,PIT,121.2,29,22,76,5.62,4.43,0.00,0.17,0.00,102.1,4.69,-13,-1.3,.40,-0.1,-0.2,-1,.455,.492,,Traded,thompza01
780,Zack Thompson*,24,STL,34.2,22,1,9,2.34,4.17,0.36,-0.21,0.16,98.9,3.72,5,0.6,.51,-0.2,0.7,9,.526,.504,,Amateur Draft,thompza02
781,Tyler Thornburg,33,2TM,19.0,14,0,10,4.74,4.25,0.22,-0.28,0.00,97.4,3.66,-2,-0.2,.46,0.0,0.0,-1,.483,.499,,Free Agency,thornty01
