Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
826,Luke Weaver,28,2TM,35.2,26,1,29,7.32,4.36,0.00,-0.24,0.00,102.5,4.22,-12,-1.3,.29,0.3,-0.6,-9,.452,.496,$2875000,Traded,weavelu01
827,Logan Webb,25,SFG,192.1,32,32,76,3.56,4.37,-0.35,0.20,0.00,99.1,4.87,28,3.1,,-0.2,4.8,46,.598,.519,,Amateur Draft,webblo01
828,Ryan Weber,31,NYY,10.2,5,0,1,0.84,4.38,0.76,-0.29,0.00,99.7,3.33,3,0.3,.40,-0.1,0.3,4,.568,.502,,Free Agency,weberry01
829,Jordan Weems,29,WSN,39.2,32,0,24,5.45,4.74,-0.25,-0.32,0.14,96.3,4.63,-4,-0.4,.58,0.0,0.0,0,.488,.498,,Free Agency,weemsjo01
830,Zack Weiss,30,LAA,13.1,12,0,6,4.05,4.31,0.08,-0.29,0.41,100.5,4.38,1,0.1,.65,0.0,0.1,2,.505,.500,,Free Agency,weissza01
831,Gregory Weissert,27,NYY,11.1,12,0,7,5.56,4.15,0.65,-0.28,0.00,96.8,3.12,-3,-0.3,1.20,-0.1,-0.3,-2,.473,.498,,Amateur Draft,weissgr01
832,Alex Wells*,25,BAL,3.2,2,0,2,4.91,4.99,0.21,-0.33,0.00,103.4,4.60,0,0.0,.16,0.0,0.0,0,.494,.500,,Amateur Free Agent,wellsal01
833,Tyler Wells,27,BAL,103.2,23,23,49,4.25,4.37,0.24,0.19,0.00,101.7,4.41,2,0.2,,-0.1,1.1,11,.511,.501,,Rule 5 Draft,wellsty01
834,J.B. Wendelken,29,ARI,29.0,29,0,18,5.59,4.42,0.31,-0.30,0.00,99.8,3.81,-6,-0.6,.82,0.0,-0.3,-3,.479,.496,$835000,Waivers,wendejb01
835,Joey Wentz*,24,DET,32.2,7,7,13,3.58,4.15,0.16,0.19,0.00,98.7,4.12,2,0.2,,0.0,0.5,5,.533,.501,,Traded,wentzjo01
836,Hayden Wesneski,24,CHC,33.0,6,4,9,2.45,4.03,0.02,0.06,0.00,105.7,4.30,7,0.8,1.01,0.0,1.0,10,.629,.505,,Traded,wesneha01
837,Zack Wheeler,32,PHI,153.0,26,26,52,3.06,4.50,-0.30,0.21,0.00,98.6,4.94,32,3.7,,-0.1,5.0,46,.641,.523,$26000000,Free Agency,wheelza01
838,Mitch White,27,2TM,99.0,25,18,62,5.64,4.39,0.47,0.13,0.00,101.8,4.12,-17,-1.5,.57,-0.1,-0.7,-8,.439,.496,,Amateur Draft,whitemi03
839,Kodi Whitley,27,STL,12.2,14,0,8,5.68,4.34,0.37,-0.29,0.00,92.8,3.41,-3,-0.3,.49,0.0,-0.2,-2,.476,.498,,Amateur Draft,whitlko01
840,Garrett Whitlock,26,BOS,78.1,31,9,32,3.68,4.38,0.05,-0.05,0.07,109.5,4.77,10,1.1,1.38,0.0,1.8,16,.536,.507,$720000,Rule 5 Draft,whitlga01
841,Rowan Wick,29,CHC,64.0,64,0,37,5.20,4.42,0.02,-0.30,0.52,101.7,4.71,-4,-0.4,1.28,-0.2,0.0,2,.494,.498,,Traded,wickro01
842,Taylor Widener,27,ARI,17.1,14,0,8,4.15,4.76,0.36,-0.32,0.32,101.8,4.49,1,0.1,.80,-0.1,0.2,2,.505,.500,,Traded,widenta01
843,Collin Wiles,28,OAK,9.2,4,0,6,5.59,4.80,-0.16,-0.32,0.00,96.8,4.49,-1,-0.1,.35,0.0,0.0,0,.470,.499,,Free Agency,wilesco01
844,Devin Williams,27,MIL,60.2,65,0,17,2.52,4.30,0.20,-0.29,0.37,98.6,4.13,11,1.2,2.02,0.4,2.2,16,.518,.507,,Amateur Draft,willide03
845,Trevor Williams,30,NYM,89.2,30,9,34,3.41,4.34,-0.01,0.00,0.00,95.0,4.13,7,0.8,.61,-0.2,1.4,15,.525,.505,$3900000,Traded,willitr01
846,Bryse Wilson,24,PIT,115.2,25,20,80,6.22,4.36,0.00,0.16,0.00,103.2,4.67,-20,-2.0,1.16,-0.1,-1.0,-9,.421,.488,,Traded,wilsobr02
847,Justin Wilson*,34,CIN,3.2,5,0,1,2.45,4.94,-0.12,-0.33,0.00,104.8,4.95,1,0.1,.95,0.0,0.1,1,.522,.501,$2300000,Traded,wilsoju10
848,Steven Wilson,27,SDP,53.0,50,1,20,3.40,4.35,0.12,-0.29,0.41,94.9,4.14,4,0.5,1.15,-0.1,0.9,9,.509,.503,,Amateur Draft,wilsost02
849,Josh Winckowski,24,BOS,70.1,15,14,47,6.01,4.24,0.06,0.17,0.00,109.2,4.75,-10,-1.0,.02,0.0,-0.4,-4,.435,.494,,Traded,winckjo01
850,Josh Winder,25,MIN,67.0,15,11,37,4.97,4.24,0.22,0.13,0.00,99.5,4.14,-6,-0.6,.86,-0.1,0.0,0,.459,.496,,Amateur Draft,windejo01
851,Matt Wisler,29,TBR,44.0,39,5,18,3.68,4.36,0.15,-0.22,0.63,92.9,4.30,3,0.3,1.27,-0.1,0.7,7,.509,.502,$2160000,Traded,wislema01
852,Nick Wittgren,31,STL,29.0,29,0,19,5.90,4.28,0.46,-0.29,0.00,92.5,3.26,-9,-0.9,.74,0.0,-0.6,-6,.470,.495,$1200000,Free Agency,wittgni01
853,Alex Wood*,31,SFG,130.2,26,26,78,5.37,4.24,-0.34,0.19,0.00,100.8,4.82,-8,-0.8,,-0.1,0.3,4,.468,.495,$12500000,Free Agency,woodal02
854,Jake Woodford,25,STL,48.1,27,1,13,2.42,4.12,0.41,-0.22,0.00,99.1,3.45,5,0.6,.53,-0.2,0.8,10,.522,.504,,Amateur Draft,woodfja01
855,Brandon Woodruff,29,MIL,153.1,27,27,56,3.29,4.18,0.27,0.19,0.00,100.1,4.10,14,1.5,,-0.1,2.8,28,.556,.509,$6800000,Amateur Draft,woodrbr01
856,Simeon Woods Richardson,21,MIN,5.0,1,1,3,5.40,3.59,0.20,0.17,0.00,94.0,3.34,-1,-0.1,,0.0,-0.1,-1,.390,.499,,Traded,woodssi01
857,William Woods,23,ATL,2.0,2,0,0,0.00,4.23,0.17,-0.28,0.00,101.0,3.82,1,0.1,.26,0.0,0.1,1,.546,.501,,Amateur Draft,woodswi02
858,Kyle Wright,26,ATL,180.1,30,30,67,3.34,4.29,0.19,0.20,0.00,98.9,4.25,18,2.0,,-0.2,3.5,35,.566,.512,,Amateur Draft,wrighky01
859,Austin Wynns,31,SFG,2.0,2,0,3,13.50,4.20,-0.52,-0.28,0.00,98.0,4.36,-2,-0.2,.00,0.1,-0.1,-2,.402,.499,,Traded,wynnsau01
860,Jimmy Yacabonis,30,2TM,14.0,14,1,15,9.64,4.49,0.12,-0.27,0.00,95.9,3.93,-9,-0.9,.56,0.2,-0.6,-8,.436,.497,,,yacabji01
861,Miguel Yajure,24,PIT,24.1,12,1,26,9.62,4.36,0.00,-0.21,0.00,100.8,4.18,-15,-1.4,.63,0.2,-1.0,-12,.384,.491,,Traded,yajurmi01
862,Ryan Yarbrough*,30,TBR,80.0,20,9,44,4.95,4.47,0.17,0.09,0.00,95.6,4.19,-6,-0.7,.72,-0.1,0.0,0,.466,.496,$3850000,Traded,yarbrry01
863,Kirby Yates,35,ATL,7.0,9,0,4,5.14,4.18,0.21,-0.28,0.00,100.1,3.69,-1,-0.1,.67,0.0,-0.1,0,.487,.499,$1000000,Free Agency,yateski01
864,Huascar Ynoa,24,ATL,6.2,2,2,10,13.50,4.58,0.23,0.21,0.00,103.1,4.70,-7,-0.5,,0.0,-0.5,-6,.244,.497,,Traded,ynoahu01
865,Alex Young*,28,2TM,26.2,25,1,11,3.71,4.49,-0.36,-0.30,0.21,101.6,4.84,3,0.4,1.28,0.0,0.6,6,.514,.502,,Waivers,youngal01
866,Danny Young*,28,2TM,6.1,3,0,3,4.26,4.90,0.31,-0.33,0.00,101.0,4.30,0,0.0,.11,0.0,0.0,1,.507,.500,,Waivers,youngda02
867,Aneurys Zabala,25,MIA,2.2,2,0,0,0.00,3.95,0.11,-0.26,0.00,99.5,3.55,1,0.1,.16,-0.1,0.1,1,.558,.501,,Free Agency,zabalan01
868,Rob Zastryzny*,30,2TM,4.0,6,0,4,9.00,4.60,0.08,-0.31,0.00,99.3,4.19,-2,-0.2,.61,0.0,-0.2,-2,.463,.499,,Waivers,zastrro01
869,Angel Zerpa*,22,KCR,11.0,3,2,3,2.45,4.25,-0.28,0.11,0.00,105.5,4.89,3,0.4,1.22,0.0,0.5,4,.618,.502,,Amateur Free Agent,zerpaan01
870,T.J. Zeuch,26,CIN,10.2,3,3,18,15.19,4.93,-0.31,0.23,0.00,104.2,5.70,-11,-0.8,,0.0,-0.8,-10,.220,.495,,,zeuchtj01
871,Bruce Zimmermann*,27,BAL,73.2,15,13,52,6.35,4.45,0.27,0.16,0.00,104.8,4.55,-14,-1.4,1.07,-0.1,-0.8,-8,.404,.491,,Traded,zimmebr02
